,phrase,bank
0,"@turbojedi или ""сбербанк научился считать"" - это не сарказм был? простите",sberbank
1,RT @BosayaKrysa: список аккредитованных оценщиков сбербанка http://t.co/PiyvMDUoOI,sberbank
2,RT @olgakissM: оценка для сбербанка http://t.co/AO6unpL5au,sberbank
3,"@sberbank Когда с виду ok банкомат после ввода ПИНа выдаёт на синем экране надпись «ST100» и выплёвывает карту, что значит «ST100»?",sberbank
4,"RT @TsOlOmInA: разобралась со Сбербанком, бегу в маминых сапожках на вокзал за билетами :)",sberbank
5,рассчитать жилищный кредит в сбербанке http://t.co/x5KVegETd6,sberbank
6,"Сбербанк продолжает проводить ""Ипотечные субботы""",sberbank
7,рассчитать проценты по кредиту сбербанк http://t.co/Ygx3HZsuMF,sberbank
8,какие кредиты есть в сбербанке http://t.co/LMUDg1tieA,sberbank
9,Сбербанк поздравил с Новым годом Бурмакинскую школу интернат,sberbank
10,сбербанк информация по кредитам http://t.co/y9ZWeT3CGD,sberbank
11,кредит на карту в сбербанке http://t.co/yuf8AUTyZl,sberbank
12,карта сбербанка виза кредит http://t.co/7JCyeRgAdq,sberbank
13,оформление кредита онлайн в сбербанке http://t.co/ecxdOErudh,sberbank
14,как продлить кредитную карту сбербанка http://t.co/qvTVPdhho5,sberbank
15,"В сбербанк пойдем,опять это дурацкая форма белый вверх,черный низ(",sberbank
16,"Ёжики плакали-кололись, но продолжали платить через #Сбербанк. Чувствую, завтра на счет #Мегафон придет в 3 раза больше денег (3 платежа).",sberbank
17,RT @fomenkokarina: сбербанк оценка http://t.co/j6OeTe1mop,sberbank
18,Magna и Сбербанк оставят GM самый крупный пакет акций Opel,sberbank
19,Лучшие бухгалтеры Марий Эл высоко оценили сервис от Сбербанка,sberbank
20,как брать в кредит в сбербанке http://t.co/bTjfnAwtj8,sberbank
21,расчет стоимости кредита сбербанк http://t.co/bMCkNgJgSb,sberbank
22,кредитные карты сбербанка россии условия http://t.co/5mJr3wQ7th,sberbank
23,где оформить кредит в сбербанке http://t.co/o089vkYMI8,sberbank
24,кредит пенсионерам краснодар сбербанк http://t.co/4Bvqyizu9z,sberbank
25,отчет по кредитной карте сбербанка http://t.co/5WVZDgdCxe,sberbank
26,сбербанк екатеринбург кредит http://t.co/bHFQZCgCVg,sberbank
27,условия выдачи кредитной карты сбербанка http://t.co/rOhlorNjpa,sberbank
28,На Горького банкомат не работает. На автовокзале не открылась дверь. @sberbank любит своих клиентов.,sberbank
29,взять кредит сбербанк условия http://t.co/vRDOG2QEtg,sberbank
30,операция с наличными в банкомате сбербанка http://t.co/xGnl3MLLTc #наличными #с,sberbank
31,сбербанк таблица кредитов http://t.co/HsaWlP4zrl,sberbank
32,"Что такое Сбербанк и банк ВТБ24? Факты, которые не особо разглашаются http://t.co/rY2B7fZfda #новости #news",sberbank
