,name,text,sent
0,AUDI 100 C4 седан,"Недавно купил этот автомобиль. Авто отличное! Двигатель 2,5 литра, турбодизель. Прежний хозяин сказал при продаже, что масло не жрет, солярку тоже, летит как угорелая! Так оно и есть. 140 км/ч нормальная крейсерская скорость. Вообще немцы умеют делать автомобили. Дорогу держит отлично, так как достаточно широкая машина. Тормоза все дисковые. Главное передний привод, по сравнению с другими немецкими автомобилями. Такими как мерседес и бмв этого же класса. Места в автомобиле очень много. Не тесно даже, когда сидят пять взрослых человек. Багажное отделение тоже огромно. Влезла стиральная машина. По соотношению цена - качество, отличный автомобиль. Больше никогда не сяду за руль российского автомбиля! Всем рекомендую Ауди. ",positive
1,ВАЗ 2172 Лада Приора хэтчбек,"Купил данную машину в 2012 году, выбор пал именно на нее, потому как средства на покупку были весьма ограничены, многие отговаривали от покупки, утверждая что лучше ""старенькая иномарка"" чем ""наша приора"" но я решил, что лучше взять новое, чем нарваться на неизвестно откуда взявшуюся ""старую иномарку"". Пригнав ее с салона, был приятно удивлен ходовыми характеристиками, едет плавно, нет резких кренов на кочках. Гидроусилитель тоже порадовал, руль можно крутить буквально одним пальцем. Приличная динамика, из отечественных машин вероятно одна из самых ""шустрых"". В общем очень доволен, пока что кроме плановых СТО никаких ремонтов не производил. Общее впечатление : Машина неплохая, есть недостатки но за такую цену довольно таки неплохо.",negative
2,Chery Amulet A15 седан,"Во первых страна производитель, всё таки Китай, следовательно поднимается вопрос о качестве сборки данного авто. Цена небольшая, но всё таки не актуальная для Amulet, металл тонкий быстро виднеется ржавчина, гниют пороги, двери, задняя дверца багажника. Если на 60 км. в час въехать в столб сминается как фольга, о безопасности не может быть и речи. В дальнейшем электроника радует, но складывается такое ощущение, что машина сначала была смоделирована дизайнером, а только потом была впихнута вся электроника, которая там есть. В такой же ценовой категории намного лучше можно взять того же Logan. Подвеска и ходовые качества не самые идеальные, за время с 2009 - 2012 год поменял много по мелочи. Больное место всё таки радиатор, подтекает. Для начинающих автомобилистов, не плохой вариант, но только в том случае если брать автомобиль с салона, не знаю выпускаются они сейчас или нет. Ещё одна ошибка сборщиков обзор сзади, очень большие мертвые зоны. Пластик оставляет желать лучшего, запах выветривался долго, ужасный, даже ароматизаторы не помогали. Общее впечатление : разберём достоинства и недостатки. Эксплуатация несколько лет.",neutral
3,ВАЗ 2114 хэтчбек,"Была пользователем автомобиля ваз 21144 на протяжении двух лет, ничего себе авто, только очень нежный, одно малейшее столкновение и бампер разлетается в щепки, то есть замена. С комфортом тоже проблема, но надо полагать это же Российский автопром. Вечная проблема с освещением, то правая задняя фара не горит, то габариты не включаются, лампочки каждые две недели приходилось менять, предохранители вечно сгорают, печка работает вообще как ей угодно- зимой холодом дует., летом топит. Тем более была пользователем авто бывшего в использовании 5 лет, вот это поистине корыто, все дребезжит, на скорости 100 км/ч в машине стоит гул, аж уши закладывает, но стоит включить музыку погромче, вот тебе и шумоизоляция. Подогрев сидений работает хорошо, но есть опасность того, что замкнет там что-нибудь, и мало не покажется, лучше в целях своей безопасности, им не пользоваться. Но двигатель у данной ласточки достаточно мощный, поэтому за неимением лучшего можно стать владельцем данного авто, но только нового, и пользоваться им не более 3 лет. Общее впечатление : За не имением лучшего сойдет",negative
4,Opel Astra хэтчбэк,"В данном отзыве речь пойдет о Опель Астра 2010 года выпуска, цвет черный, с двигателем 1.8 литра, комплектация ""космо"". Приобретался новым в автосалоне г. Челябинска в 2010 году, на момент написания отчета имеет пробег 60 тыс километров. За все это время особых проблем выявленно не было, обслуживался только на плановых ТО. Начнем наверное с перечисления плюсов так как их явно меньше) 1) небольшие размеры позволяют в большем городе довольно легко передвигаться по пробкам, а двигатель позволяет быть чуток впереди 2) всеяден к заливаемому топливу 3) недорог в обслуживании 4) пока ни чего не ломалось 5) достойный клиренс Вот наверное и все плюсы, теперь перейдем к минусам: 1) Расход топлива просто поражает, особенно если долго не выезжать на трассу, то в городском цикле компьютер будет показывать очень неприятные цифры у меня доходило до 16 литров 2) не руссифицированный компьютер 3) крайне не понятен алгоритм пользования им, на ходу да еще и сразу не разобраться точно 4) шумоизоляция- а вот вопрос: "" а есть ли она""? ответ скорей нет, чем есть 5) довольно не удобные кресла воителя и пассажира посадку удобную довольно сложно поймать 6) коробка автомат это отдельное чудо увы и ах на авто выпуска 2010 года, она всего лишь 4 ступенчатая, что не ведет ни к чему хорошему 7) есть функция режима спорт, но при включении она приводит к довольно нервному режиму работы двигателя и получается не просто ускорение, а какое то рваное и дерганное движение 8) есть функция зима, при включении его двигатель как будто просто на половину отключается и каждое троганье с места превращается во что то неописуемое Подведя итог минусам две кнопки спорт и зима считаю просто лишними и их отсутствие явно не испортило бы автомобиль, а наличие сто процентов его удорожило. В своей ценовой нише у опеля много конкурентов и он явно большинству проигрывает Год выпуска/покупки: 2010 Общее впечатление : думаю что второй раз не купил бы",negative
5,Lada Largus минивэн,"Взяли этот автомобиль для семьи. Ездить приходится часто, то по работе, то детей на дачу и по магазинам приходится возить. Машина очень вместительная, и коляска и велосипед влезут. За год эксплуатации только масло поменяли, все остальное работает как часы. Главное после покупки обработать мовилью чтоб кузов долго прослужил. Кузов достаточно крепкий. Удобно открываются задние двери для погрузки. А внутри как в иномарке, все четко. Удобные, мягкие сиденья. Главное и детям комфортно. Нам очень нравится эта машинка. Не разу не пожалели что приобрели ее. Собираемся всей семьей ехать на море. Не сомневаюсь что она не подведет. ",positive
6,ЗАЗ Chance хэтчбек,"Купила автомобиль ЗАЗ Chance 1.3 se в 2012 году с рук. Привлёк меня своим внешним видом и не дорогой ценой 215 000 руб. и ещё тем, что есть гидроусилитель руля, что для женщины очень удобно в управлении. Так же есть автомагнитола, которая читает 3G диски. Просторный салон, удобно сидеть пассажирам сзади. Сразу бросился в глаза дешёвый пластик на рулевой колонке, прикрученный саморезами. Ручки стекло подъёмников регулярно ломаются. Лобовое стекло треснуло само по себе, без удара. На ходу порвался ремень ГРМ. А что самое ужасное, это плавающие обороты, которые ничем нельзя исправить. Поменяла уже разные датчики, а обороты как гуляли, так и гуляют. В сервисе говорят, что не знают, что ещё можно с этим сделать. И что это болезнь этого автомобиля. Из-за повышенных оборотов получается большой расход топлива. Запчасти собраны от разных автомобилей. В авто магазинах приходится брать и примерять, что подойдёт. В салоне очень шумно, никакой шумоизоляции. Разместила объявление о продаже. Хочу продать за 160 000 руб. За две недели всего один человек заинтересовался. Не продаваемая машина. Брать не советую. Хочу продать! ",neutral
7,Skoda Octavia A7 седан,"Не давно мой кум купил в магазине автомобиль skoda octavia a7. Потом он дал мне машину на неделю чтобы я мог ее оценить. После моей ""прокатки"" я понял насколько она хороша. Внешне очень красивая и оригинальная, внутри хорошо обустроен салон, имеется просторный багажник с полочками, отлично обшиты сидения. Ходовые качества тоже дают о себе знать, например при езде ход очень плавный, еще передвижение быстрое и без проблем. Машина очень надежная и крепкая, по ней сразу видно что сможет выдержать сильные удары или столкновения. Автомобиль имеет мощный мало потребляемый бензина движок, просторный бак для топлива, крепкую подвеску, и еще куча всего. Если собрались покупать автомобиль советую оценить эту модель. Общее впечатление : Мне нравится",positive
8,Great Wall Hover H5 внедорожник,"Доброго времени суток! Свой автомобиль Great Wall Hover H5 взяла в декабре 2013 года. Перед покупкой китайского автомобиля долго сомневалась, читала отзывы. Спрашивала мнения знакомых у которых тоже имеются ховеры. Вообщем решилась на покупку этого автомобиля... И не пожалела. Машинка радует. Много всяких опций. Большой вместительный багажник, огромный салон, отличная проходимость по любой дороге(даже там, где ее нет). Запчасти на нее, относительно нашего российского автопрома, не дорогие. В этом автомобиле за такие деньги меня устраивает все! Единственное, что за это время произошло-перегорела лампочка поворотника. Но ее мне очень быстро поменяли на диллерской станции. Вообщем рекомендую машиу. Отличное соотношение цена-качество! Общее впечатление : Отличное соотношение цена-качество.Рекомендую",positive
9,Skoda Octavia седан,"Я хочу вам рассказать про это авто. Работаю на СТО ""Bosch"" и мы обслуживаем много разных авто, скажу вам что этот автомобиль очень качественный но в тоже время и дорогой в обслуживании возьмем к примеру 1.6 (бензин), примерно что бы пройти одно ТО нужно выложить примерно от 3000 до 5000 грн. смотря кто как ездит. Он комфортный, и очень резвый автомобиль. Но также и много кушает бензина в городе примерно 12л. на 100км. Проблемаы этого авто: ""двигатель"" за частую проворачивание крыльчатки помпы что производит к дорогому ремонту авто; ""коробка передач"" сламываются зубья шестерни, ремонт тоже дорогой потому что приходиться пол ностью перебирать коробку передач; ""подвеска"" зачастую бывают стуки которые бывает очень трудно определить. Но не стоит волноваться это происходит очень редко. ",positive
