,recall,sent
68674,Качество отличное! Буду заказывать ещё.,positive
45796,Материал правда тонкий...Доставка быстрая спасибо,neautral
23019,вообще не соответствует размеру. очень сильно маленькие как на ребенка,negative
7810,seller not ship,negative
33732,"На российский 48-50 XL мал, таблица продавца неверна. Качество не плохое, смесь хлопка.",neautral
49081,"кофта сама хорошая,размер l на 42 русский свободно сидит как на фото.рукава длинные, но вот манжет распорот был по шву и шаварышки уже собираться начали",neautral
20760,Товар не получила. Сегодня проверяла на почте. Спор открыть не успела. Товар не отслуживался. Очень расстроилась. ((((((,negative
25398,Товар не пришёл. Продавец мурыжил 43 дня. В итоге в спор вмешался али экспресс. Деньги вернули,negative
48579,Не соответствие размерной сетки. Нужно брать на три размера больше.,neautral
42422,"Леггинсы неплохие, только минус основная ткань вискоза, электризуются. Я до этого
 брала на хб основе, они были лучше.",neautral
25713,"Доброе время суток! Заказала лосины, ждала месяц, а пришла открытка и подвеска. Открыла спор. Мне отказали в возврате денег. Продавец просил закрыть спор и подождать еще немного. Я ответила, что ждать не намерена и подарок можно было положить с основным заказом. А теперь жду от вас номер отслеживания, по которому я удостоверюсь, что мой заказ в пути. Естественно мне он ничего не отправил. Я этого продавца НЕ РЕКОМЕНДУЮ.",negative
51232,"Нервущимися и не пахнет, 20ден, одноразовые. Даже дня не прожили ",neautral
67984,5++++++,positive
66573,"Очень очень довольна куртка хорошая на прохладную осень продавец общается отлично когда заказывала был праздник но продавец все равно отвечал, доставку заказывала платную ,доставка полторы недели учётом праздников ! рекомендую!!",positive
26557,"Товар даже не отправлен, деньги вернул Али",negative
3421,"Заказал 11 ноября 2017. Судя по трекингу, товар находится в стране назначения. В Литве. А я заказывал в Россию. Срок защиты покупателя не продлили. Заказ закрылся сам-собой. В общем, товар не получил. Ну... хоть дайте отзыв напишу.",negative
36613,Платье среднего качества.  Пришло быстро.,neautral
76253,"Юбка полностью соответствует фото, суперская! Всем советую",positive
65018,Девочки. Куртка просто бомба. так как я и хотела. тонкая. мягкая. лёгкая. всего 600 грамм. И очень тёплая. советую всем. Только имейте ввиду что она маломерка.,positive
77750,"Не столь плотные как хотелось ,но хорошие ",positive
64453,Рубашка супер! Чуть села после стирки. ,positive
43640,"я конечно читала в отзывах, что майка коротковата, но она ОЧЕНЬ короткая, смотрится просто смешно, как будто детская, носить невозможно даже дома. хотя по объемам мне подошла. мой рост 170, размер s. если ваш рост такой же, то вам тоже будет коротка.",neautral
68033,"Посылка шла пять недель в Алтайский край. Качество достойное, супруга довольна.",positive
23917,"Это конченный продавец. Мало того что товар не пришёл, так ещё этот пидор на сообщения не отвечает и деньги не вернул, ебаный китаец гори в аду",negative
46234,после стирки платье покрылось катышками,neautral
51912,"Свитер мягкий, очень приятный, но заказанный размера М оказался по факту где-то XS, и цвет не такой насыщенный как на фото.",neautral
71296,"за 2 недели пришла посылка , с учётом праздников! просто супер!!! джинсы с запахом, после стирки запах прошёл. сели идеально. размер 28. мои параметры: рост 170, 94-71-94. спасибо!!",positive
53386,"К сожалению, 3XL на рос. 50 размер очень мала. Может, кому-нибудь подарю.",neautral
26575,"отвратительный продавец!!! ни товара, ни денег!!! сволочи!!!",negative
21336,"Добрый вечер, уважаемые поставщики.
Я жду свою посылку  3 месяц-это 60 дней и , похоже, не дождусь.Оценить точность  описания не могу, поскольку посылки нет, зато общение с продавцом и срок доставки оцениваю на 1 звезду. 

Справедливости ради хочу заметить, что это первый раз при покупке на вашем сайте.",negative
52451,просвечивается,neautral
30504,Некачественный пошив.Товар не отслеживается.Размер подошел.,neautral
51463,не подошел размер,neautral
60417,"Отличные брюки.Брала для прогулки с сыном.Идеальны для проблемной фигуры(у меня остался живот после родов,и синтепоновые брюки от костюма одеть не смогла).Выбирала размер по отзывам.В итоге 32 подошел идеально.Можно и поддеть под низ еще,но не толстое.",positive
48457,"размер большой, ткань тонкая.",neautral
