,review,sentiment
0,"Сильный фильм. Очень сильный. 

Трое, бежавших из плена. Трое, вернувшихся домой. Но дом - уже не дом, и все, что было 'до', теперь сменилось на другое, чужое, 'после'.

Потрясающая игра моего любимого украинского актера театра и кино Богдана Сильвестровича Ступки. Герой его оказывается меж двух огней: он сельский староста, и обязан сообщить о троих красноармейцах. Но один из этой троицы - его родной сын. Как быть? Что делать?

Именно тогда, когда жизнь висит на волоске, и открывается истинная сущность человека. Кто чужой, а кто свой? Кто готов ради тебя пожертвовать собой, а кто за спиной прячет камень. 

10 из 10",pos
1,"Ни один человек не прожил настоящей жизни, если он не был очищен любовью женщины, подкреплён её мужеством и руководим её скромной рассудительностью.

Прогулка, возможно перевернувшая жизни людей... Прогулка, из-за которой были на седьмом небе от счастья, которая была мечтой... была чем-то таким нереальным и фантастическим. Прогулка, имевшая что-то такое сладкое как первый поцелуй, такое горькое как первые слезы. Все это - прогулка, которая вела в заблуждение... но это было так прекрасно!!!

Девушка загадка-девушка мечта... Именно это нам демонстрирует актриса Ирина Пегова, сыгравшая главную роль в этой кинокартине. Ей удалось полностью уловить и передать характер Ольги. Возможно, никто другой не смог бы так сыграть такой характер женщины, которая с легкостью может влюбить в себя... может быть такой необычной, не такой как все.

Алексей(Павел Баршак) и Павел(Евгений Цыганов), лучшие друзья, показывают нам то, что мужская дружба существует и она все-таки есть, несмотря на девушку, которая нравится им обоим, из-за которой они чуть было не потеряли эту самую дружбу... которой они дорожили!

Фильм захватывающий, поучительный, он стоит того, чтоб посмотреть его. Возможно, это одна из лучших российских кинокартин, которые я смотрела!",pos
2,"'Чья вина это могла быть?.. могла ли это быть вина безответственных людей или это вина кукол, любящих своих хозяев?..'

Если рассматривать этот фильм, как ужастик, то мне он не очень понравился. Всё крайне банально - то, что этот парень не модель, а полицейский сразу ясно, спецэффекты никудышные, страшно не было, идея не нова. В принципе стандартный фильм ужасов -  посмотреть можно, но это не то кино, которое оставит глубокий след в кинематографе.

Мне больше понравилась и тронула, преданность и любовь куклы Мины не смотря ни на что. Главная героиня очень жестока к своей кукле, которая делала всё,чтобы спасти её. Особенно запомнился момент, когда кукла обняла бывшую хозяйку и начала плакать, а на лице той было видно лишь отвращение... Её поведение возмущает - нельзя быть такой бессердечной!  

Найдя новую, более хорошую вещь, я избавляюсь от старой и даже не вспоминаю о ней - вот жизненная позиция героини. Думаю, многие люди идут с этим кредо по жизни, но правильно ли это?...

7 из 10",neu
3,"После выхода из американской тюрьмы 50-летний Саймон решает посетить Исландию, родину своей матери, чтобы повидаться с оставшимися в живых дальними родственниками, а заодно покончить со своей опостылевшей жизнью. В небольшом посёлке под Рейкьявиком он знакомится с цирковой акробаткой Дюе. Она называет себя художницей, устраивающей необычное перформансы с хождением по проволоке в перьях. Однажды Дюе подобрала на улице раненого сокола, вылечила и потому считает его своей собственностью. Но на её доводы плевать фашиствующему поселковому полицейскому. 

Местный шериф считает своей собственностью всех окрестных незамужних девиц и потому настойчиво пытается добиться близости с экстравагантной дамой. Меж тем Саймон начинает подозревать, что Дюе может быть его незаконнорожденной дочерью. После крутой разборки Саймона с копом он вместе с Дюе бежит за границу, в Германию. Не считаясь с мнением девушки, он намеревается продать её сокола (самый ценный экспортный товар островного государства, который запрещено вывозить за границу) за 50 тысяч. Пытаясь самостоятельно провернуть сделку, Саймон попадает в лапы преступной группировки… 

Патриарх исландского кино Фридрик Тор Фридрикссон (эдакий исландский Тарковский), основавший в 1987 году Исландский киноинститут, создал своими фильмами позитивное реноме исландскому кино, как сугубо национальному явлению. Здесь по традиции у Фридрикссона присутствуют красиво снятые пейзажи Исландии, герой на грани суицида, в данном случае остро переживающий запоздалый кризис среднего возраста. Подобно Вите Зилову из «Утиной охоты» он суёт себе в рот дуло ружья, да всё никак не может нажать на курок. 

Он избегает близких контактов с прекрасной незнакомкой посредством закравшегося подозрения в собственном отцовстве и тем самым предотвращает возможный инцест. «Соколы» — классический роуд-муви, который обманчиво долго держится на грани сентиментальности, а потом стремительно и жестко подводит зрителя к безжалостной развязке. В итоге получается нечто вроде «Последнего танго в Гамбурге», где во главу угла ставится метафора о столкновение двух культур – девственного исландского бескорыстия и меркантильного общества потребления.",pos
4,"Бергман снял более шестидесяти картин, очень разных. Такие работы как 'Улыбки летней ночи', 'Седьмая печать', 'Персона', 'Фанни и Александр' словно сняты разными людьми - настолько непохожи повествовательный ритм, энергетика, отношение к сюжетности и изобразительному ряду. Не факт, что Бергман заслуживает того, чтобы его имя ассоциировалось в первую очередь с вереницей мутных тяжеловесных меланхоличных и минималистических женских драм на стыке с патопсихологией, которых он наснял с десяток с переходящими из одной картины в другую актрисами. 'Лицо', 'Персона', 'Прикосновение', 'Сквозь мутное стекло' - список можно продолжить. В этом ряду 'Шепоты и крики' один из наиболее удачных фильмов за счет смелого цветового решения, отсутствия перезатянутостей мизансцен и смягчению патологии женских персонажей. Если избавиться от восторженного шепота, то мне фильмы 'зрелого' и 'психологического' Бергмана претили именно отсутствием социального контекста, в котором и можно оценивать (сопереживать) его женским образам. 

Ни откуда, ни почему столь значительные психические сдвиги возникли большого объяснения не дается, преобладает ложная многозначительность, в рамках которой любая из интерпретаций событий будет верной. Из показанного в 'Шепотах и криках' окружения (сестры, муж, служанка), образа жизни (достаток в поместье) персонажа Карен совершенно не вытекает обоснование ее мазохизма, а если речь идет о частном случае клинического расстройства (которых у Бергмана подозрительно многовато), то образ вряд ли уж претендует на обобщение и универсализм.  Частности в 'Шепотах и криках' - сочетание красного, белого и черного цветов, прекрасные работы актрис на крупных планах, удачная сцена Ульман и Юзефсона, чудные финальные кадры производят сильное визуальное впечатление, но сказать, что фильм чем-то идейно или художественно в целом впечатлил, не могу. 

8 из 10",neu
5,"Вот почти всё, что хотел сказать сняла с языка камрад Dostoeffsky Suicide! 

  Отдельно восхищусь игрой Аллы Демидовы - каждый эпизод = эмоция и = озаглавленная эмоция: 'Лиза, боящаяся потери', 'Лиза умиротворённая жизнью, когда все дома', 'Лиза, принимающая стеснённое внимание' и т.д. Все эмоции великолепно переданы осанкой, поворотом головы, уголками глаз -  пантомимика четка, выразительна (как всегда и далее!), достоверна и внутренне выверена!

   Басилашвили в 'своей тарелке': персонаж - маменькин сынок в 34 года, далее мы увидим немало его ролей с развитием и оттенками этого 'амплуа' (Самохвалов - маменькин сынок достигший поста, Бузыкин - не достигший и ищущий юбку, Рябинин - подкаблучник, нашедший 'юбку').

  Светлана Тома - чересчур современна (феминистична), в своих словах и реакциях, для цыганки стыка 19/20 вв.

   Евгений Кузнецов - считаю провалом его роль князя Сергея Дмитриевича Абрезкова, из трёх его появлений в кадре - два с неестественными для характера роли реакциями: при разговоре с Софьей Пилявской, при появлении Басилашвили его аж отбросило от партнёрши метров на пять, как от включения однополюсного электро-магнита  - почему? При разговоре с Баталовым, его персонаж не дожидаясь ответа на свой вопрос, начинает движение в створе двери, получив 'вдогонку' ответ - начинает возвратное движение, всё это напоминает 'дрожание' стоп-кадра на VHS магнитофонах, а в экранной жизни - суетливость и нерешительность, очень неубедительно для роли князя.

  Но есть великолепные 'питерские' уголки, планы, локации в Ленинграде, а буксир со складной трубой!

  Финальная 'картинная' сцена где играют только глаза Демидовой и взаимо-положение персон, вызывает желание коллекционирования столь дивных стоп-сцен не только в кладовой памяти, но и вполне осязаемых  сборниках-нарезках!

   5 из 10",neu
6,"Вот именно, что это? Комедия? Тогда где смеяться? Что-то получается слишком много вопросов. 

Актёры. Более ужасной игры актёров я не видела. И очень надеюсь, что и не увижу. Пэрис Хилтон вообще кто такая? Актриса? Певица? Ах, да, точно, светская гламурная львица. В этом и дело, что в фильмах снимаются актёры, которые пытаются с максимальной точностью донести до зрителя главную мысль фильма. А тут видно только дешёвую рекламу Пэрис,за которую в России заплатили только 250 тыс $. И-то, наверное, на него ходили либо пьяные мужики, чтобы просто посидеть посмеяться над этим всем, либо провинциалки, грезющие стать такими же, как и их любимая Пэрис.

Сюжет. О чём фильм? В чём смысл? Чему он учит? О чём заставляет задуматься? Опять слишком много вопросов получается. Карамельно-розовый фильм не несёт абсолютно никакой смысловой нагрузки. Этот тот случай, когда реально про*ираешь время, смотря эту жуть. 

Вывод. Никому не советую смотреть. Абсолютно. Трата времени плюс куча раздражения. 

1 из 10",neg
7,"Это история о сильных людях, достигших успеха своими усилиями и талантами. Они занимают важное место в жизни лучшего города на земле. Они в высшей лиги. Это история о самых лучших качествах, которые должны быть у сильных мира сего.

В истории есть все, о чем можно мечтать. Власть, шик, целеустремленность, верность своим принципам и людям, искренность, невероятный интеллект. Однако, даже у самых сильных наступает момент когда он становится уязвим.

Преодолеть это ты сможешь только веря в правильность своих убеждений. Ты должен быть сильным, иначе зачем тебе жить. 

В 'Костюмах в законе' рассказывается о людях, которые сильны духом и следуют своим принципам, которые мне кажутся верными. Каждый из них, несмотря на возможные слабости, не теряет достоинства. Это их объединяет и делает сильнее, мудрее.

Сюжет принуждает следить за каждым действием, диалогом, поступков героев с невероятной и очень приятной концентрацией. Игра актеров заслуживает отдельной похвалы. Каждый из них играет личность, примеру которой хочется следовать. Это история о высоких чувствах и убеждениях. Я очень хочу обладать таким же достоинством как главные герои.

10 из 10",pos
8,"Узнал я об этом сериале, когда вышел еще 1-й сезон от своего знакомого. Хотя я не любитель зомби-фильмов с реками крови и трупов, этот фильм меня зацепил с первой же серии и теперь каждый год с нетерпением жду нового сезона.

Прежде всего он интересен будет любителям фильмов-апокалипсисов, т. к. по большому счету работа этому и посвящена - каким станет мир и люди во время масштабной и неизлечимой эпидемии.

Основной упор в сериале сделан на моделирование отношений людей между собой в критической ситуации. Если в первом сезоне все зомби были основными 'героями' фильма и от которых не знал, что ожидать, на что они способны, как с ними бороться, то в последующих сезонах зомби стали просто орудием для ликвидации слабого или надоевшего героя. Хотя и сильных героев было слито немало и было непонятно почему режиссер решил его убрать.

Каждый сезон смотрится легко, а концовка эпизодов оставляет интригу и хочется скорее посмотреть, что будет дальше и какая будет развязка. Предугадать развитие событий порой нелегко, но кого съедят зомби в ближайшие пару эпизодов или в следующем сезоне можно по паническому или безрассудному поведению героев.

Почти бессмертие зомби напрягает, т. к. исходя из идеи фильма можно в них стрелять, рубать, бить  по любым частям тела и им все равно (даже полу-скелетам, у которых кости держаться на остатках тканей), но только чуть долбанешь их по голове - зомби устранен.

Также раздражают очень долгие и абсолютно не нужные беседы героев ни о чем. Если уж нужно немного потянуть время, то лучше уж приводить какие-то беседы о прошлой жизни героев, о том, какими они были до этого момента и где их застал апокалипсис.

Удивляет появление в эпизодах групп людей, которые не умеют сражаться с зомби, но  каким-то образом умудряются так долго выжить в таких условиях.

Назвать какой-то сезон слабее или сильнее другого сложно, т. к. все они очень интересно построены с точки зрения новых событий, убежищ, сложностей и препятствий. Исключением, по моему мнению, является 2-й сезон, который был перенасыщен диалогами и поучениями героев друг друга. Нередко эпизоды этого сезона я смотрел перематывая дальше диалоги.

С каждым сезоном герои становятся с одной стороны более уставшими и желающими наконец-то где-то спрятаться и больше не воевать, но с другой стороны стороны они становятся также более жестокими и безбашенными, что подтверждают эпизоды 6 сезона, когда герои решают напасть на другую группу выживших, которые по их мнению представляют им угрозу.

Не смотря на множество ляпов, не состыковок и порой необъяснимое поведение героев сериал продолжает радовать выходом новых эпизодов с захватывающими сюжетами!

10 из 10",pos
9,"Наконец-то дошли руки до в прямом смысле бестселлера 16-го года.

 Отношения Бэтмена и Джокера такие же бесконечные, как отношения Росса и Рейчел, разве что без секса. Уважение к оригиналу- неотъемлемая часть создания чего-либо, особенно, когда легенда графической новеллы обретает жизнь в кадрах анимации.

 Суть в том, что 'Шутка' вышла в точности такой, какой она была на страницах комикса: откровенная, достаточно жестокая и обнажающая не самые лучшие стороны Бэтмена: как чётко выразились IndieWire: 'Бэтмен предстаёт в фильме перед зрителем, как эмоционально-омертвевший.' Факт. 

 Довольно яркое и волнующее появление Джокера - тоже факт, но для того, чтобы добраться до самой 'Шутки' нужно пережить 30 минут довольно бессмысленного пролога, выдвигающего Барбару Гордон на место главной - и не очень-то жизнеутверждающей - героини. В этом же прологе и Бэтмена понесло куда-то не туда. С какой целью был введён кусок взаимоотношений Бэтмена и Барбары? Вопрос терзает почти всех, но дело рук творца неоспоримо.

 Анимация приятная, сильная, но всё же и правда не достаточно детализирована в сравнении с искусством Болланда. Большая ассоциация идёт с японским аниме и это прискорбно, но терпимо.

 В любом случае поклонникам и просто тем, кто 'в теме' крайне советую. 

 И, повторюсь, первые 30 минут смело пропускай.

Смотри кино правильно.

8 из 10",pos
