,docid,url,title,modified,lastmodtime,type,domain,status,part,bloc,tags,image_url,pubdate,text,rightcol,snippet
0,943560,https://lenta.ru/news/2020/01/01/trudovaya/,В России ввели электронные трудовые книжки,1577836860,1577866854,1,1,0,0,1,[2],https://icdn.lenta.ru/images/2019/12/30/15/20191230154413289/detail_926b7fa3e073074f6784fd721e19b093.png,1577836860,"Фото:  Юрий Мартьянов /« Коммерсантъ» В России работникам начнут выдавать электронные трудовые книжки вместо бумажных документов. Соответствующий пакет законов вступил в силу в среду, 1 января, сообщается на официальном интернет-портале правовой информации. Теперь работодатели смогут передавать в Пенсионный фонд сведения о трудовой деятельности и стаже каждого работника в онлайн-режиме, а не по почте, как это было ранее. При этом работник сможет либо оставить старый документ, либо получить новую электронную трудовую книжку. Для перехода на новую систему гражданин должен подать письменное заявление. Те, кто не успеет сообщить о своем решении в 2020 году, смогут сделать это позже. Однако те россияне, которые начнут официально работать после 1 января 2021 года, уже не будут иметь возможности получить бумажную трудовую книжку. В декабре сообщалось, что использование трудовых книжек в электронном виде считают полезным 43 процента россиян, 35 процентов не одобрили нововведение.",Работодатели смогут передавать сведения в Пенсионный фонд в онлайн-режиме,"Фото:  Юрий Мартьянов /« Коммерсантъ» В ... книжки вместо бумажных документов. Соответствующий пакет законов вступил в ... интернет-портале правовой информации. Теперь работодатели смогут передавать в ..., а не по почте, как это было ранее."
1,943835,https://lenta.ru/news/2020/01/01/zavorotnuk/,Заворотнюк поблагодарила поклонников за поддержку,1577838422,1577838422,1,1,0,0,6,[18],https://icdn.lenta.ru/images/2020/01/01/03/20200101032344040/detail_41bb83ff790e9edd035a7b66b915cbf7.jpg,1577838422,"Фото: Анатолий Ломохов / Globallookpress.com Поклонников российской актрисы Анастасии Заворотнюк поздравили с Новым годом и поблагодарили за поддержку.  Соответствующая запись появилась в Instagram-аккаунте артистки. «Всем вам Настя передает огромный привет и благодарит за поддержку, за ваши молитвы и то душевное тепло, которое вы дарите», — говорится в публикации. Также поклонникам актрисы пожелали здоровья и благополучия от Заворотнюк и ее семьи. У 48-летней Заворотнюк диагностировали рак мозга после того, как у нее начались сильные головные боли. Эту информацию впервые подтвердили в октябре этого года. В настоящее время актриса проходит курс лечения. Представители Заворотнюк заявили, что не будут комментировать ее состояние.",Соответствующая запись появилась в Instagram-аккаунте артистки  ,"Фото: Анатолий Ломохов / Globallookpress.... годом и поблагодарили за поддержку.  Соответствующая запись появилась в Instagram-аккаунте артистки. «Всем вам Настя передает огромный ... вы дарите», — говорится в публикации."
2,943747,https://lenta.ru/news/2020/01/01/org/,В России утвердили стандарты органической еды,1577838649,1577838649,1,1,0,0,4,"[7, 8]",https://icdn.lenta.ru/images/2019/12/31/13/20191231130153445/detail_aa3d0a178b7d44a367c2a558d519092b.png,1577838649,"Фото: Rupert Oberhäuser / Globallookpress.com В России вступил в силу закон об органической продукции питания, устанавливающий стандарты для производителей и продавцов. Его авторы утвердили отличия органической еды от неорганической. Документ был принят в августе 2018 года, однако участникам рынка был предоставлен переходный период до начала 2020 года. Согласно ему, органической считается продукция, произведенная без применения пестицидов, удобрений, антибиотиков и стимуляторов роста для животных. Также определяется, что органическая продукция не может производиться, храниться и перевозиться вместе с неорганической. Производители могут добровольно сертифицировать свою продукцию для установления ее соответствия национальным и международным стандартам. Созданный в рамках закона единый государственный реестр производителей органической продукции будет вести Минсельхоз.",Вступил в силу принятый в 2018 году закон,"Фото: Rupert Oberhäuser / ... для производителей и продавцов. Его авторы утвердили отличия органической еды от неорганической. Документ был принят в августе 2018 года,... переходный период до начала 2020 года."
3,943836,https://lenta.ru/news/2020/01/01/sleep/,Объяснена опасность неправильного сна,1577839980,1577964161,1,1,0,0,5,[16],https://icdn.lenta.ru/images/2020/01/01/03/20200101031936829/detail_3972a2e6b26164b27327a314de5f147c.jpg,1577839980,"Фото: Vladislav Muslakov / Unsplash Спящие более 11 или менее четырех часов в сутки люди более подвержены фиброзу легких, чем те, кто спит примерно семь часов. К такому выводу пришла исследовательская группа с учеными из университетов Манчестера, Оксфорда, Ньюкасла, университетских колледжей Лондона и Торонто, а также фонда NHS Foundation. Их результаты опубликовало издание MedicalExpress. В исследовании использовались данные людей из британского биобанка. Те, кто недосыпает и спит менее четырех часов, удваивают шансы на развитие фиброза легких. А спящие по 11 и более часов в сутки его утраивают. Также повышенный риск на развитие болезни имеют те, кто ложится спать поздно ночью или работает посменно. Отмечается, что из-за легочного фиброза в Великобритании умирает около пяти тысяч человек в год — примерно столько же становятся жертвами лейкемии. Фиброз легких — разрастание соединительной ткани в органе с появлением рубцов. Болезнь может привести к дисфункции легких.",Спящие слишком мало или слишком много более подвержены фиброзу легких,"Фото: Vladislav Muslakov / Unsplash ..., чем те, кто спит примерно семь часов. К такому выводу пришла ... Торонто, а также фонда NHS Foundation. Их результаты опубликовало издание MedicalExpress."
4,943634,https://lenta.ru/news/2020/01/01/theaters/,Российские театры освободили от налогов,1577840882,1577840883,1,1,0,0,4,[7],https://icdn.lenta.ru/images/2019/12/30/20/20191230204834578/detail_c799a20133ea18de21b9e367253ca759.jpg,1577840882,"Фото: Константин Кокошкин / «Коммерсантъ» Российские театры и другие учреждения культуры освободили от уплаты налога на прибыль — 1 января вступили в силу соответствующие поправки в Налоговый кодекс. Поправки предусмотрены федеральным законом, принятым в июле 2019 года. В соответствии с ним, музеи, театры, библиотеки получили право применять нулевую ставку по налогу на прибыль при условии, что их учредителями выступают субъекты РФ или муниципальные образования. Льгота применяется в том случае, когда доходы от профильной деятельности составляют не менее 90 процентов от общей выручки театра, музея или библиотеки.",Обнулить базу удастся при условии строго следования основному виду деятельности,"Фото: Константин Кокошкин / «Коммерсантъ»... поправки в Налоговый кодекс. Поправки предусмотрены федеральным законом, принятым в июле 2019 года. В соответствии с ним, музеи, театры, ... РФ или муниципальные образования."
5,943602,https://lenta.ru/news/2020/01/01/utilsbor/,В России подорожают автомобили,1577843090,1577843090,1,1,0,0,1,[2],https://icdn.lenta.ru/images/2019/12/30/18/20191230180513792/detail_58c27edfa3170e6d5bf7a14c10ae851d.jpg,1577843090,"Фото: Александр Коряков / «Коммерсантъ» Автомобили в России станут дороже, поскольку с Нового года выросли ставки утилизационного сбора. Соответствующее постановление правительства, опубликованное на сайте кабинета министров, вступило в силу в среду, 1 января. Максимальное повышение утилизационного сбора произойдет в сегменте легковых автомобилей и составит в среднем 110,7 процента. При этом многое будет зависеть от мощности конкретного автомобиля. Так, для машин с объемом двигателя меньше одного литра сбор увеличится на 46,1 процента, для транспортных средств с двигателем объемом от 3,5 литра — 145 процентов. Для самого массового сегмента — машин с двигателем 1-2 литра — сбор вырастет на 112,4 процента. Правительство рассматривает повышение утилизационного сбора в качестве компенсирующей меры после снижения таможенных пошлин на импортируемые автомобили. При этом в Минпромторге заявляли, что не ожидают резкого скачка цен. Тем не менее, по словам участников рынка, все автосалоны вынуждены будут поднять цены, опустившиеся в 2019 году до минимального уровня из-за падения спроса.",Это связано с повышением утилизационного сбора,"Фото: Александр Коряков / «Коммерсантъ» ... выросли ставки утилизационного сбора. Соответствующее постановление ..., вступило в силу в среду, 1 января. Максимальное повышение утилизационного ... и составит в среднем 110,7 процента."
6,943837,https://lenta.ru/news/2020/01/01/pompeo/,Помпео обвинил «иранских подручных» в нападении на посольство США в Ираке,1577843390,1577843390,1,1,0,0,2,[1],https://icdn.lenta.ru/images/2020/01/01/04/20200101040345240/detail_2eb62ef63893d4ce7d0682a2f3c51163.jpg,1577843390,"Майк Помпео Фото: Drew Angerer / Getty Images Госсекретарь США Майк Помпео обвинил «иранских подручных» в нападении на американское посольство в Багдаде. Соответствующее заявление он сделал в своем Twitter-аккаунте. По словам Помпео, штурм был организован главой шиитского ополчения «Силы народной мобилизации» в Ираке Абу Махди аль-Мухандисом и руководителем шиитских отрядов «Специальные группы» Каисом аль-Хазали. Госсекретарь США добавил, что террористам помогали иранские подручные — глава «Организации Бадра» — военное крыло Верховного Совета исламской революции в Ираке —  Хади аль-Амари и бывший руководитель Службы национальной безопасности Ирака Фалех аль-Файяд. 31 декабря сотни жителей Ирака пошли на штурм американского посольства. Это произошло из-за удара ВВС США по складам и командным пунктам движения «Хезболла», в результате которого погибло около 30 человек и пострадало около 45. В результате диппредставительство было эвакуировано.",Он также обвинил террористов Абу Махди аль-Мухандис и Каис аль-Хазали,"Майк Помпео Фото: Drew Angerer / Getty ... на американское посольство в Багдаде. Соответствующее заявление он сделал в своем Twitter-аккаунте. По словам Помпео, штурм был организован ... «Специальные группы» Каисом аль-Хазали."
7,943838,https://lenta.ru/news/2020/01/01/irak/,США отправят в Ирак несколько сотен военных,1577844780,1577845369,1,1,0,0,2,[48],https://icdn.lenta.ru/images/2020/01/01/05/20200101050316602/detail_d5b1f6211f72c9bea9f210090563ee78.jpg,1577844780,"Фото: Reuters Соединенные Штаты отправят в Ирак несколько сотен военных в связи с нападением на американское посольство в Багдаде. Об этом сообщил глава Пентагона Марк Эспер в своем Twitter-аккаунте. Глава Пентагона отметил, что в регион отправят приблизительно 750 человек. По его словам, развертывание сил является для США надлежащим и предупредительным действием в ответ на возникшие для американских дипломатов угрозы. «Соединенные Штаты будут защищать своих людей и интересы везде, где бы они ни находились», — написал он. В то же время телеканал Fox News сообщил, что Вашингтон подготовил к возможной переброске на Ближний Восток около четырех тысяч военных, передает ТАСС. Они могут быть направлены, в частности, в Кувейт. Ранее Эспер сообщил, что для защиты дипломатов в Ираке США направят туда дополнительные силы. Он также призвал иракские власти выполнить свои международные обязательства. 31 декабря сотни жителей Ирака пошли на штурм американского посольства. Это произошло из-за удара ВВС США по складам и командным пунктам движения «Хезболла», в результате которого погибло около 30 человек и пострадало около 45. В результате диппредставительство было эвакуировано.",В регион отправят приблизительно 750 человек,"Фото: Reuters Соединенные Штаты отправят ... на американское посольство в Багдаде. Об этом сообщил глава Пентагона Марк Эспер в своем Twitter-аккаунте. Глава Пентагона отметил, что в регион отправят приблизительно 750 человек."
8,943839,https://lenta.ru/news/2020/01/01/oon/,В Совете Безопасности ООН сменились пять государств,1577845615,1577845615,1,1,0,0,2,[1],https://icdn.lenta.ru/images/2020/01/01/05/20200101052417237/detail_371b37eec1e96618acb87568bbfe94e0.jpg,1577845615,"Фото: Richard Drew / AP В состав Совета Безопасности ООН вошли пять новых государств — Вьетнам, Нигер, Тунис, Эстония и Сент-Винсент и Гренадины. Об этом пишет РИА Новости. Эти страны будут оставаться в Совете до конца 2021 года. Новые члены сменили Гвинею, Кот-д'Ивуара, Кувейт, Перу и Польшу, которые были избраны на 2018-2019 годы. Также отмечается, что Вьетнам станет председателем в Совбезе ООН. Сейчас места непостоянных членов также занимают Германия, Бельгия, Доминиканская Республика, Индонезия, которые останутся в Совете до конца 2020 года. Совет Безопасности — постоянно действующая структура ООН, отвечающая за поддержание международного мира и безопасности. Должность председателя совета передается странам в алфавитном порядке каждый месяц. В Совете Безопасности ООН пятнадцать мест, пять из которых занимают постоянные члены, обладающие правом вето, — Россия, США, Китай, Великобритания и Франция. Остальные десять мест раз в два года распределяются по принципу ротации между остальными странами-членами ООН.",Председателем в Совбезе станет Вьетнам ,"Фото: Richard Drew / AP В состав Совета ..., Эстония и Сент-Винсент и Гренадины. Об этом пишет РИА Новости. Эти страны будут оставаться в Совете до конца 2021 года."
9,943811,https://lenta.ru/news/2020/01/01/tariff/,Покупать в интернете за границей стало сложнее,1577847420,1577958238,1,1,0,0,4,[7],https://icdn.lenta.ru/images/2019/12/31/17/20191231173654698/detail_d681c2d59b078ca1694c28158b31573e.jpg,1577847420,"Фото: Depositphotos Покупать в интернете за границей стало сложнее — с 1 января порог беспошлинного ввоза товаров, купленных в зарубежных магазинах, снизился до 200 евро в месяц. Такое решение было принято Евразийской экономической комиссией. В 2019 году порог беспошлинного ввоза равнялся 500 евро и 31 килограмму товаров в месяц. Теперь показатель снижен до 200 евро за каждую посылку, попадающую в Россию. Покупки дороже этой суммы будут облагаться пошлинами в размере 30 процентов от суммы превышения. Таможенный сбор, который взимается дополнительно с каждой посылки дороже нормы, увеличен с 250 до 500 рублей. С 1 июля порог предлагается снизить до 100 евро за каждое международное отправление, с 2021 года — до 50 евро и с 2022-го — до 20. При этом в 2021 году произойдет снижение размера пошлины с нынешних 30 до 15 процентов от суммы превышения над порогом беспошлинного ввоза.",Порог беспошлинного ввоза снижен до 200 евро за посылку ,"Фото: Depositphotos Покупать в интернете ..., снизился до 200 евро в месяц. Такое решение было принято Евразийской экономической комиссией. В 2019 году порог беспошлинного ввоза ... евро и 31 килограмму товаров в месяц."
