review,rating
достоинства   удобно лежит в детской руке  неплохой дизайн  отличная задумка    недостатки но реализация отвратительная  глюк на глюке   за два месяца использования столкнулись со следующими проблемами  спервого дня использования   1  не видит симку  приходится разбирать и колдовать  поворачивая ее  по полмиллиметра в разные стороны  да  слот под симку чуть больше симки   2  провод приходится перетыкать в гнездо по несколько раз  чтобы пошла зарядка   3  родительский контроль работает через раз  в частности контроль приложений чудачит как хочет  то появляется значок блокировки приложения  когда оно доступно  то наоборот  4  настроить отслеживание местоположения так и не удалось  несмотря на два дня танцев с бубнами  ни мой телефон  nexus 5x   ни мужа  iphone 4s   так и не смогли подключиться к устройству  при помощи сканирования кода через официальное приложение  пишет  ошибка подключения   и хоть тресни  5  к wi fi ни разу нормально не подключился  все время вылетает  комментарий ну и детское меню могло бы быть организовано логичнее  а так просто свалка какая то  никаких виджетов  неудобно  максимум  что можно сделать  организовать все по папкам  камеры для ребенка достаточно  в несложные игры играть можно   ютуб работает  предпочла бы заплатить вдвое больше  но получить нормальный продукт  а это деньги на ветер  терпеть глюки нет сил больше  будем брать другой смартфон  не рекомендую никому ,1
достоинства   экран  яркость  недостатки всё остальное  прошивка  батарея  не держала толком  быстро вздулась   пришлось править звук в инженерном меню  оболочка  для детей    отвратительный  нелогичный  аляповато оформленный  неудобный обрезок нормального андроида  одна сим  комментарий никогда не покупайте это убожество ,1
достоинства   для ребенка яркий телефон  нормальный экран  ребенку понравился  недостатки не работает родительский контроль  двое суток настраивали  одни поработал и все эта функция не настраивается вообще  в магазине не берут назад  сказали сначала качество тел  проведут а потом будут решать  пользовались неделю ,3
достоинства   цена недостатки очень слабоживущий сенсор комментарий продержался 4 месяца  умер сенсор  при бережной эксплуатации  за 45 дней по гарантии заменили сенсор  якобы   когда забирал проверил  умер вечером в тот же день  прямо он более  китай  чем сами китайцы    для детей не берите  лучше посмотрите дешевые модели известных брендов или фирменных китайцев ,1
телефон как одноразовая бритва  долго не работает  корпус сделан из самого плохого и дешевого пластика  пришло обновление программы и при обновлении телефон сразу глюканул так что сбросил все и больше не запускался  после гарантийного ремонта через месяц при зарядке вздулась батарея и сломала крепление задней крышки  а гарантия как раз закончилась  вообщем разовый телефон  не советую ,1
достоинства   ребенку нравится внешний вид недостатки не работал нормально тачскрин не ловит gps в квартире   через приложение не видно  оболочка неудобная  андроид 4 4 как выяснилось позднее глючит оболочка   приложения разрешены  но их не видно  после не хитрых манипуляций в настройках  которые доступны ребенку можно запустить любое приложение комментарий не рекомендовал бы к покупке ,1
достоинства   ребенку нравится внешний вид недостатки не работал нормально тачскринне ловит gps в квартире   через приложение не видно оболочка неудобная  андроид 4 4как выяснилось позднее глючит оболочка   приложения разрешены  но их не видно после не хитрых манипуляций в настройках  которые доступны ребенку можно запустить любое приложение комментарий не рекомендовал бы к покупке ,1
достоинства   отличная цена для такого многофункционального смартфона   недостатки недостатков нет   комментарий такой телефон   это подарок не только для нашей малышки   но и для нас   как родителей   теперь я всегда уверена   что мой ребенок случайно не наткнется на запрещенный контент   будет играть лишь в те игры   которые я разрешу установить   самое главное   чтобы телефон звонил   с этим он естественно справляется ,5
достоинства   доступная управляемость  ребенкок разберется без труда  симпатичный внешний вид  доп  возможности  облегчающие жизнь родителям недостатки дочка сказала что недостатков нет комментарий купил не так давно  дабы всегда быть на связи с дочуней  моя ариша еще та оторва  может уйти гулять после школы  а я потом ее по всем друзьям и знакомым ищу  естественно  без телефона в такой ситуации   никак  самое важное для меня в этой модели   что я могу следить со своего смартфона за ее местоположением  работает он шустренько  сеть не теряет  местоположение определяет четко  родительский контроль позволяет мне ограничивать некоторые нежелательные функции  сайты  контакты  что несомненно удобно для меня  в остальном   все так же норм  реагирует оперативно  слышимость хорошая  динамик не фонит ,5
достоинства   памяти хватает  на гарантии  стильный недостатки камера конечно есть  но пикселей маловато комментарий дочка в школу пошла купили ей смартфон  в нем ос android  памяти предостаточно ей для фоток и т  д  смотрится ярко и современно  цвет желтый  в этой модели есть wi fi  блютус  камера есть  но всего 2 мп  так в руке лежит удобно  средний по размеру  по весу легкий  зарядки дочки хватает дня на 3 примерно  если сильно не нагружать  в комплекте шел кабель для компьютера и зарядка сама  главное  что телефон на гарантии  предоставляют от производителя 1 год  вообще в целом неплохой телефон за такие небольшие деньги и работает пока исправно  без глюков ,5
достоинства   очень компактный и стильный  неплохой дизайн  хорошие динамики  экран яркий и контрастный  неплохая камера  невысокая цена недостатки для крутых игрушек не хватает ресурса комментарий специально покупала ребенку в школу простой и бюджетный смартфон  эксплуатируем несколько месяцев  никаких претензий  работает безотказно  пока ничего не отваливается  корпус изготовлен из довольно прочного пластика  в качестве средства связи безупречен  фотографии получаются неплохие,5
достоинства   интересный дизайн смартфона  дочке безумно понравился внешний вид  недостатки дешевые наушники немного испортили радость от покупки  пришлось покупать более дорогие с лучшим звучанием комментарий покупала смартфон для дочки   второклассницы  я как мама паникерша  всегда переживаю  если ребенок где то задреживается на 5 10 минут  с этим телефоном я по геолокации спокойно могу увидеть  где моя доча  сам опо себе смартфон довольно стильный  удобный  андроид работает хорошо  4 4   для ребенка хватает  клавиатура для взрослого не очень удобна  а вот для ребенка   самое то  дочка печает довольно быстро и не промахивается мимо нужных буковок  тогда как я  когда тоже решила опробовать   напечатала ерундень  лично мне нравится  что я могу контролировать то  что делает доча  это достаточно удобная функция  и я уверенна  что мой ребенок не полезет туда  куда не надо и не будет звонить по ненужным номерам  батарейки дочке хватает на весь день  даже с использованием игр и интернета ,5
достоинства   большой экран  яркие цвета  цена  работоспособность недостатки за такую стоимость глупо их искать комментарий когда сын пошел в 1 класс решили что телефон ему еще не нужен  в итоге ошиблись и пришлось выбирать  дорогие модели решили сразу не брать  очень понравилась идея детского смартфона  отдельный плюс  что можно блокировать сайты  зарядки батареи сыну хватает на день в школе  сенсор не глючит  для такой цены экран большой  цвета яркие  телефон простой  пластмассовый  не очень жалко будет если ребенок его где нибудь оставит  приятно удивило что работает он быстро  сын сразу скачал игры  и во время игр телефон не зависает  а работает очень даже бодро  камера слабая конечно  но сам факт что она есть уже хорошо  часто прошу сына отправить мне что либо ,5
достоинства   детский дизайн   хороший дисплей   по нему дочка смотрит мультики и играет в приложения   которые лично я выбираю для нее   никакого лишнего контента   недостатки недостатков   к счастью   не заметил   данная модель отлично подходит на роль первого телефона   комментарий моя дочурка просто в восторге от такого подарка на день рождения   а я спокоен за нее   потому что знаю   что мой ребенок всегда под присмотром   благодаря функции родительский контроль  ,5
