,phrase,telecom
0,text,beeline
1,text,megafon
2,text,mts
3,text,mts
4,text,mts
5,text,beeline
6,text,megafon
7,text,rostelecom
8,text,megafon
9,text,megafon
10,text,megafon
11,text,mts
12,text,tele2
13,text,beeline
14,text,mts
15,text,mts
16,text,rostelecom
17,text,megafon
18,text,megafon
19,text,megafon
20,text,megafon
21,text,mts
22,text,beeline
23,text,mts
24,text,megafon
25,text,megafon
26,text,beeline
27,text,beeline
28,text,beeline
29,text,mts
30,text,mts
31,text,mts
32,text,megafon
33,text,rostelecom
34,text,mts
35,text,mts
36,text,megafon
37,text,megafon
38,text,mts
39,text,beeline
40,text,tele2
41,text,megafon
42,text,megafon
43,text,beeline
44,text,rostelecom
45,text,mts
46,text,mts
47,text,megafon
48,text,megafon
49,text,beeline
50,text,mts
51,text,mts
52,text,megafon
53,text,mts
54,text,mts
55,text,beeline
56,text,mts
57,text,beeline
58,text,mts
59,text,mts
60,text,mts
61,text,megafon
62,text,beeline
63,text,beeline
64,text,mts
65,text,beeline
66,text,mts
67,text,rostelecom
68,text,megafon
69,text,megafon
70,text,mts
71,text,beeline
72,text,beeline
73,text,tele2
74,text,megafon
75,text,beeline
76,text,mts
77,text,mts
78,text,megafon
79,text,megafon
80,text,beeline
81,text,megafon
82,text,beeline
83,text,beeline
84,text,rostelecom
85,text,beeline
86,text,beeline
87,text,megafon
88,text,rostelecom
89,text,megafon
90,text,rostelecom
91,text,beeline
92,text,mts
93,text,mts
94,text,megafon
95,text,megafon
96,text,beeline
97,text,rostelecom
98,text,megafon
99,text,beeline
100,text,mts
101,text,mts
102,text,mts
103,text,megafon
104,text,mts
105,text,beeline
106,text,beeline
107,text,beeline
108,text,mts
109,text,mts
110,text,tele2
111,text,megafon
112,text,beeline
113,text,beeline
114,text,mts
115,text,mts
116,text,mts
117,text,mts
118,text,mts
119,text,rostelecom
120,text,rostelecom
121,text,mts
122,text,megafon
123,text,mts
124,text,megafon
125,text,beeline
126,text,beeline
127,text,megafon
128,text,megafon
129,text,megafon
130,text,megafon
131,text,mts
132,text,megafon
133,text,megafon
134,text,megafon
135,text,megafon
136,text,beeline
137,text,mts
138,text,megafon
139,text,mts
140,text,beeline
141,text,beeline
142,text,mts
143,text,megafon
144,text,rostelecom
145,text,beeline
146,text,beeline
147,text,megafon
148,text,mts
149,text,beeline
150,text,tele2
151,text,beeline
152,text,rostelecom
153,text,beeline
154,text,beeline
155,text,beeline
156,text,mts
157,text,beeline
158,text,beeline
159,text,mts
160,text,mts
161,text,beeline
162,text,beeline
163,text,megafon
164,text,mts
165,text,megafon
166,text,mts
167,text,beeline
168,text,megafon
169,text,megafon
170,text,megafon
171,text,mts
172,text,mts
173,text,mts
174,text,mts
175,text,rostelecom
176,text,megafon
177,text,rostelecom
178,text,komstar
179,text,mts
180,text,mts
181,text,megafon
182,text,mts
183,text,mts
184,text,mts
185,text,mts
186,text,beeline
187,text,beeline
188,text,megafon
189,text,rostelecom
190,text,mts
191,text,megafon
192,text,rostelecom
193,text,mts
194,text,rostelecom
195,text,mts
196,text,mts
197,text,megafon
198,text,mts
199,text,rostelecom
200,text,rostelecom
201,text,beeline
202,text,beeline
203,text,megafon
204,text,mts
205,text,beeline
206,text,mts
207,text,beeline
208,text,mts
209,text,mts
210,text,mts
211,text,mts
212,text,beeline
213,text,mts
214,text,mts
215,text,rostelecom
216,text,megafon
217,text,mts
218,text,beeline
219,text,beeline
220,text,beeline
221,text,rostelecom
222,text,mts
223,text,beeline
224,text,mts
225,text,mts
226,text,beeline
227,text,tele2
228,text,mts
229,text,megafon
230,text,mts
231,text,beeline
232,text,beeline
233,text,beeline
234,text,mts
235,text,tele2
236,text,mts
237,text,mts
238,text,beeline
239,text,beeline
240,text,mts
241,text,rostelecom
242,text,skylink
243,text,beeline
244,text,mts
245,text,tele2
246,text,mts
247,text,mts
248,text,beeline
249,text,beeline
250,text,mts
251,text,mts
252,text,beeline
253,text,mts
254,text,megafon
255,text,megafon
256,text,rostelecom
257,text,mts
258,text,megafon
259,text,beeline
260,text,rostelecom
261,text,mts
262,text,megafon
263,text,beeline
264,text,rostelecom
265,text,megafon
266,text,mts
267,text,mts
268,text,mts
269,text,megafon
270,text,megafon
271,text,mts
272,text,megafon
273,text,tele2
274,text,beeline
275,text,rostelecom
276,text,megafon
277,text,mts
278,text,megafon
279,text,beeline
280,text,beeline
281,text,beeline
282,text,tele2
283,text,beeline
284,text,mts
285,text,mts
286,text,mts
287,text,mts
288,text,tele2
289,text,mts
290,text,mts
291,text,mts
292,text,mts
293,text,mts
294,text,beeline
295,text,mts
296,text,rostelecom
297,text,beeline
298,text,beeline
299,text,mts
300,text,tele2
301,text,megafon
302,text,beeline
303,text,beeline
304,text,beeline
305,text,mts
306,text,rostelecom
307,text,mts
308,text,megafon
309,text,beeline
310,text,mts
311,text,megafon
312,text,megafon
313,text,beeline
314,text,beeline
315,text,megafon
316,text,beeline
317,text,megafon
318,text,mts
319,text,mts
320,text,beeline
321,text,mts
322,text,megafon
323,text,beeline
324,text,beeline
325,text,mts
326,text,mts
327,text,megafon
328,text,megafon
329,text,megafon
330,text,beeline
331,text,beeline
332,text,megafon
333,text,megafon
334,text,mts
335,text,mts
336,text,megafon
337,text,rostelecom
338,text,mts
339,text,megafon
340,text,beeline
341,text,mts
342,text,mts
343,text,mts
344,text,mts
345,text,megafon
346,text,mts
347,text,megafon
348,text,mts
349,text,beeline
350,text,mts
351,text,beeline
352,text,mts
353,text,mts
354,text,mts
355,text,mts
356,text,mts
357,text,megafon
358,text,skylink
359,text,rostelecom
360,text,rostelecom
361,text,beeline
362,text,mts
363,text,mts
364,text,megafon
365,text,rostelecom
366,text,mts
367,text,rostelecom
368,text,beeline
369,text,beeline
370,text,megafon
371,text,beeline
372,text,megafon
373,text,mts
374,text,rostelecom
375,text,tele2
376,text,beeline
377,text,mts
378,text,megafon
379,text,beeline
380,text,mts
381,text,beeline
382,text,beeline
383,text,megafon
384,text,mts
385,text,beeline
386,text,mts
387,text,megafon
388,text,megafon
389,text,mts
390,text,beeline
391,text,megafon
392,text,mts
393,text,megafon
394,text,megafon
395,text,rostelecom
396,text,beeline
397,text,beeline
398,text,beeline
399,text,mts
400,text,megafon
401,text,beeline
402,text,mts
403,text,beeline
404,text,megafon
405,text,rostelecom
406,text,mts
407,text,mts
408,text,beeline
409,text,beeline
410,text,mts
411,text,megafon
412,text,megafon
413,text,rostelecom
414,text,beeline
415,text,beeline
416,text,megafon
417,text,megafon
418,text,beeline
419,text,mts
420,text,megafon
421,text,megafon
422,text,beeline
423,text,mts
424,text,rostelecom
425,text,mts
426,text,megafon
427,text,megafon
428,text,beeline
429,text,megafon
430,text,mts
431,text,mts
432,text,mts
433,text,rostelecom
434,text,rostelecom
435,text,tele2
436,text,tele2
437,text,beeline
438,text,beeline
439,text,mts
440,text,beeline
441,text,megafon
442,text,mts
443,text,mts
444,text,beeline
445,text,megafon
446,text,megafon
447,text,mts
448,text,rostelecom
449,text,beeline
450,text,mts
451,text,mts
452,text,rostelecom
453,text,megafon
454,text,megafon
455,text,beeline
456,text,beeline
457,text,beeline
458,text,beeline
459,text,beeline
460,text,rostelecom
461,text,beeline
462,text,beeline
463,text,mts
464,text,beeline
465,text,beeline
466,text,mts
467,text,mts
468,text,beeline
469,text,megafon
470,text,tele2
471,text,megafon
472,text,mts
473,text,rostelecom
474,text,megafon
475,text,rostelecom
476,text,mts
477,text,rostelecom
478,text,rostelecom
479,text,megafon
480,text,beeline
481,text,beeline
482,text,mts
483,text,rostelecom
484,text,megafon
485,text,beeline
486,text,tele2
487,text,beeline
488,text,tele2
489,text,beeline
490,text,mts
491,text,beeline
492,text,mts
493,text,rostelecom
494,text,beeline
495,text,mts
496,text,mts
497,text,megafon
498,text,rostelecom
499,text,megafon
500,text,beeline
501,text,tele2
502,text,mts
503,text,mts
504,text,mts
505,text,rostelecom
506,text,mts
507,text,megafon
508,text,tele2
509,text,megafon
510,text,mts
511,text,tele2
512,text,megafon
513,text,megafon
514,text,megafon
515,text,megafon
516,text,mts
517,text,tele2
518,text,beeline
519,text,megafon
520,text,rostelecom
521,text,mts
522,text,rostelecom
523,text,beeline
524,text,mts
525,text,rostelecom
526,text,rostelecom
527,text,megafon
528,text,megafon
529,text,beeline
530,text,mts
531,text,rostelecom
532,text,megafon
533,text,rostelecom
534,text,megafon
535,text,beeline
